"2 Word Phrases","Count","Density"
"surat lamaran","42 ","3.65%"
"at reply","35 ","3.04%"
"lamaran kerja","33 ","2.87%"
"contoh surat","30 ","2.61%"
"bapak ibu","20 ","1.74%"
"ini saya","18 ","1.56%"
"lamaran pekerjaan","16 ","1.39%"
"terima kasih","15 ","1.30%"
"di perusahaan","15 ","1.30%"
"yang bapak","13 ","1.13%"
"hormat saya","13 ","1.13%"
"foto copy","12 ","1.04%"
"perusahaan yang","12 ","1.04%"
"ibu pimpin","11 ","0.96%"
"opens in","10 ","0.87%"
"click to","10 ","0.87%"
"dengan hormat","10 ","0.87%"
"in new","10 ","0.87%"
"new window","10 ","0.87%"
"window click","9 ","0.78%"
"besar harapan","9 ","0.78%"
"bahan pertimbangan","9 ","0.78%"
"harapan saya","9 ","0.78%"
"saya untuk","9 ","0.78%"
"pas foto","8 ","0.69%"
"saya lampirkan","8 ","0.69%"
"to share","8 ","0.69%"
"share on","8 ","0.69%"
"sebagai bahan","8 ","0.69%"
"reply thanks","8 ","0.69%"
"kasih hormat","8 ","0.69%"
"saya ucapkan","8 ","0.69%"
"daftar riwayat","7 ","0.61%"
"dan benar","7 ","0.61%"
"rt rw","7 ","0.61%"
"riwayat hidup","7 ","0.61%"
"atas perhatian","7 ","0.61%"
"baik dan","7 ","0.61%"
"dalam bahasa","7 ","0.61%"
"untuk dapat","7 ","0.61%"
"ucapkan terima","7 ","0.61%"
"bertanda tangan","6 ","0.52%"
"bahasa inggris","6 ","0.52%"
"kepada yth","6 ","0.52%"
"yang bertanda","6 ","0.52%"
"dapat diterima","6 ","0.52%"
"bersama ini","6 ","0.52%"
"ijazah terakhir","5 ","0.43%"
"fotocopy ijazah","5 ","0.43%"
"karyawan di","5 ","0.43%"
"sebagai karyawan","5 ","0.43%"
"mengajukan lamaran","5 ","0.43%"
"yang baik","5 ","0.43%"
"sangat membantu","5 ","0.43%"
"tanggal lahir","5 ","0.43%"
"lampirkan fotocopy","5 ","0.43%"
"kerja yang","5 ","0.43%"
"perusahaan bapak","5 ","0.43%"
"yang bisa","5 ","0.43%"
"saya yang","5 ","0.43%"
"fotocopy ktp","5 ","0.43%"
"ini nama","5 ","0.43%"
"pimpin saya","4 ","0.35%"
"ingin mengajukan","4 ","0.35%"
"bisa kamu","4 ","0.35%"
"lahir surakarta","4 ","0.35%"
"dengan ini","4 ","0.35%"
"curriculum vitae","4 ","0.35%"
"pekerjaan yang","4 ","0.35%"
"pekerjaan kepada","4 ","0.35%"
"tangan dibawah","4 ","0.35%"
"demikian surat","4 ","0.35%"
"diterima di","4 ","0.35%"
"saya ingin","4 ","0.35%"
"dibawah ini","4 ","0.35%"
"satu lembar","4 ","0.35%"
"copy kartu","4 ","0.35%"
"copy ijazah","4 ","0.35%"
"pimpin atas","4 ","0.35%"
"surakarta november","3 ","0.26%"
"jenis kelamin","3 ","0.26%"
"no hp","3 ","0.26%"
"pertimbangan bapak","3 ","0.26%"
"lahir sukoharjo","3 ","0.26%"
"berkas cv","3 ","0.26%"
"transkrip nilai","3 ","0.26%"
"berkas lamaran","3 ","0.26%"
"tempat tanggal","3 ","0.26%"
"kumpulan berkas","3 ","0.26%"
"cv dan","3 ","0.26%"
"kerja contoh","3 ","0.26%"
"saya dapat","3 ","0.26%"
"atas perhatiannya","3 ","0.26%"
"perhatiannya saya","3 ","0.26%"
"kerja di","3 ","0.26%"
"dan lamaran","3 ","0.26%"
"tempattgl lahir","3 ","0.26%"
"saya telah","3 ","0.26%"
"nanangri at","3 ","0.26%"
"pertimbangan bersama","3 ","0.26%"
"keterangan kerja","3 ","0.26%"
"yang saya","3 ","0.26%"
"pimpin sebagai","3 ","0.26%"
"bapakibu pimpin","3 ","0.26%"
"terakhir daftar","3 ","0.26%"
"bapak saya","3 ","0.26%"
"foto demikian","3 ","0.26%"
"kerja dalam","3 ","0.26%"
"melamar pekerjaan","3 ","0.26%"
"bawah ini","3 ","0.26%"
"di bawah","3 ","0.26%"
"bergabung di","3 ","0.26%"
"surat keterangan","3 ","0.26%"
"pendidikan terakhir","3 ","0.26%"
"lamaran ini","3 ","0.26%"
"pekerjaan sebagai","3 ","0.26%"
"reply makasih","3 ","0.26%"
"dengan baik","3 ","0.26%"
"yang bapakibu","3 ","0.26%"
"reply izin","3 ","0.26%"
"kasih atas","3 ","0.26%"
